name,formatted_address,rating,website,opening_hours,cuisine
Fiesta on The Go,"2719 E 38th St, Indianapolis, IN 46218, USA",4,,"['Monday: 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: 4:00\u2009–\u200910:00\u202fPM', 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 4:00\u2009–\u200910:00\u202fPM', 'Friday: 4:00\u2009–\u200910:00\u202fPM', 'Saturday: 4:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed']",Mexican
Tha Corn Man,"2442 Central Ave, Indianapolis, IN 46205, USA",3.8,https://tha-corn-man.ueniweb.com/?utm_campaign=gmb,"['Monday: 3:00\u2009–\u20099:00\u202fPM', 'Tuesday: 3:00\u2009–\u20099:00\u202fPM', 'Wednesday: 3:00\u2009–\u20099:00\u202fPM', 'Thursday: 3:00\u2009–\u20099:00\u202fPM', 'Friday: 3:00\u2009–\u20099:00\u202fPM', 'Saturday: 3:00\u2009–\u20099:00\u202fPM', 'Sunday: 3:00\u2009–\u20099:00\u202fPM']","Mexican, Food Delivery Services, Specialty Food"
El Venezolano Food Truck,"9642 Allisonville Rd Suite B, Indianapolis, IN 46250, USA",3.7,,,
Antojitos Guzman food truck #1,"4853 W 56th St, Indianapolis, IN 46254, USA",3.5,https://antojitosguzmanfoodtruck1.business.site/?utm_source=gmb&utm_medium=referral,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 2:00\u2009–\u20099:30\u202fPM', 'Thursday: 2:00\u2009–\u20099:30\u202fPM', 'Friday: 2:00\u2009–\u20099:30\u202fPM', 'Saturday: 2:00\u2009–\u20099:30\u202fPM', 'Sunday: 2:00\u2009–\u20099:30\u202fPM']",
Paco's Taqueria - Food Truck,"6816 E 82nd St, Indianapolis, IN 46250, USA",3.4,http://www.pacostaquerias.com/,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",
Juannita's Mexican Food Truck,"6996 East 21st St, Indianapolis, IN 46219, USA",3,http://juannitas.com/,"['Monday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u200911:00\u202fPM']",
Taqueria La Autentica Food truck,"8801 E 25th St, Indianapolis, IN 46219, USA",3,,"['Monday: 12:00\u2009–\u200910:00\u202fPM', 'Tuesday: 12:00\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u200910:30\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 6:00\u2009–\u200911:00\u202fPM', 'Sunday: Closed']",
Food Truck Don Luis,"3605 Commercial Dr, Indianapolis, IN 46222, USA",3,http://orderfoodtruckdonluis.com/,"['Monday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: Closed', 'Thursday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u200912:30\u202fAM', 'Saturday: 6:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: 6:00\u202fPM\u2009–\u200912:00\u202fAM']","Mexican, Fast Food"
El Viejon Food Truck,"3612 W 30th St, Indianapolis, IN 46222, USA",1,https://www.elviejonfoodtruckindy.com/,"['Monday: Closed', 'Tuesday: 2:30\u202fPM\u2009–\u20091:00\u202fAM', 'Wednesday: 2:30\u202fPM\u2009–\u20091:00\u202fAM', 'Thursday: 2:30\u202fPM\u2009–\u20091:00\u202fAM', 'Friday: 2:30\u202fPM\u2009–\u20094:00\u202fAM', 'Saturday: 2:30\u202fPM\u2009–\u20094:00\u202fAM', 'Sunday: 2:30\u202fPM\u2009–\u200912:00\u202fAM']",
Taco food truck,"5621 N Parker Ave, Indianapolis, IN 46220, USA",,,"['Monday: 12:00\u2009–\u20099:00\u202fPM', 'Tuesday: 12:00\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: Closed']",
ROSE’S foodtruck Honduras,"3759 W Washington St, Indianapolis, IN 46241, USA",,,"['Monday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed']",
3 Marias Mex Food Truck,"3205 E Washington St, Indianapolis, IN 46201, USA",,,"['Monday: 6:00\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u2009–\u200910:00\u202fPM', 'Friday: Closed', 'Saturday: 6:00\u2009–\u200910:00\u202fPM', 'Sunday: Closed']",
Taqueria la Autentica Mex food truck,"2350 E 62nd St, Indianapolis, IN 46220, USA",,,,
Indy Food Shop,"9940 E 38th St, Indianapolis, IN 46235, USA",,,,
Talkin Turkey Real Cajun Food Truck & Catering,"Commercial Kitchen, 4550 Central Ave, Indianapolis, IN 46205, USA",,,,
